Reference, Quantity, Value, Footprint, Datasheet, MFG, Field4
C2 C4 ,2,"18p,50V","Capacitors_SMD:C_0603","","CL10C180JB8NNNC","
C26 ,1,"10µ,63V","Capacitors_SMD:C_1206",""
C28 ,1,"100n,16V","Capacitors_SMD:C_0603","","CL10B104KC8NNNC","
C29 ,1,"47µ,6V3","Capacitors_SMD:C_1206","","CL31A476MQHNNNE","
C35 ,1,"6n8,50V","Capacitors_SMD:C_0603","","GCM188R71H682KA37D","
C36 ,1,"10µ,16V","Capacitors_SMD:C_1206","","CC1206KKX7R7BB106","
C40 ,1,"220µ,35V","Capacitors_SMD:CP_Elec_8x10","","UWT1V221MNL1GS","
C41 ,1,"100µ,63V","Capacitors_SMD:CP_Elec_10x10","","EEE-1JA101P","
C1 C11 C12 C27 C3 C31 C37 C38 C39 C42 C5 C6 C7 C9 ,14,"2µ2,16V","Capacitors_SMD:C_0603","","EMK107BJ225KA-T","
C10 C13 C14 C15 C16 C17 C18 C19 C20 C21 C22 C23 C24 C25 C30 C32 C33 C34 C8 ,19,"100n,100V","Capacitors_SMD:C_0603","","CL10B104KC8NNNC","
D1 ,1,"12V","Diodes_SMD:D_SOD-323","","MM3Z12VT1G","
D11 D13 D15 D17 D19 D2 D21 D23 D25 D27 D29 D3 D34 D7 D9 ,15,"LED","LEDs:LED_0603","","150060RS75000","
D30 ,1,"53Vwm","Diodes_SMD:D_SMC","","1.5SMC62A","
D31 ,1,"3,3Vwm","Diodes_SMD:D_SOD-123F","","SMF3.3","
D32 D33 ,2,"FSV1060V","TO_SOT_Packages_SMD:TO-277A","","FSV1060V","
D4 ,1,"D_Schottky","Diodes_SMD:D_SOD-323","","CUS08F30,H3F","
D5 ,1,"62V","Diodes_SMD:D_SOD-123","","CMHZ5265B TR","
D10 D12 D14 D16 D18 D20 D22 D24 D26 D28 D6 D8 ,12,"7V5","Diodes_SMD:D_SOD-323","","MM3Z7V5T1G","
J1 ,1,"Conn_02x08_Odd_Even","Pin_Headers:Pin_Header_Straight_2x08_Pitch2.54mm","","PREC008DAAN-RC","
J2 ,1,"USB_OTG","Connectors_USB:USB_Micro-B_Molex_47346-0001","",""10118192-0001LF" OR "1051330011"","
J3 ,1,"Conn_01x05","Pin_Headers:Pin_Header_Straight_1x05_Pitch2.54mm_SMD_Pin1Left","","M20-8770546","
J4 J5 ,2,"JST_XH-04","Connectors_JST:JST_XH_B04B-XH-A_04x2.50mm_Straight","","B4B-XH-A(LF)(SN)","
J6 ,1,"JST_XH-13","Connectors_JST:JST_XH_S13B-XH-A_13x2.50mm_Angled","","S13B-XH-A(LF)(SN)","
J7 ,1,"Conn_01x03","Connectors_Phoenix:PhoenixContact_MCV-G_03x3.50mm_Vertical","","OSTTE030104","
L1 L2 L4 ,3,"BLM31PG330SN1L","Inductors_SMD:L_1206","","BLM31PG330SN1L","
L3 ,1,"22µ","Inductors_SMD:L_1210","","CBC3225T220MR","
L5 ,1,"22µ,6.3A","Custom_footprints:HC9","","HC9-220-R","
LS1 ,1,"Speaker","Custom_footprints:CSS-0575","","CSS-0575A-SMT-TR","
Q1 ,1,"DMP6023LE-13","TO_SOT_Packages_SMD:SOT-223-3_TabPin2","","DMP6023LE-13","
Q17 ,1,"BSZ100N06NSATMA1","Custom_footprints:PG-TDSON-8","","BSZ100N06NSATMA1","
Q2 ,1,"DMN55D0UT-7","smd-semi:SOT-523","","DMN55D0UT-7","
Q3 Q4 ,2,"PMV50XPR","TO_SOT_Packages_SMD:SOT-23","","PMV50XPR","
Q10 Q11 Q12 Q13 Q14 Q15 Q16 Q5 Q6 Q7 Q8 Q9 ,12,"Q_PMOS_GSD","TO_SOT_Packages_SMD:SOT-323_SC-70","","BSS84PWH6327XTSA1","
R1 R11 R12 R13 R19 R24 R68 ,7,"4k7","Resistors_SMD:R_0603","","RC0603FR-074K7L","
R14 R26 R27 R28 R30 R31 R33 R34 R36 R37 R39 R40 R42 R43 R45 R46 R48 R49 R51 R52 R54 R55 R57 R58 R60 R61 R63 R76 ,28,"120R","Resistors_SMD:R_0603","","RC0603FR-07120RL","
R21 R23 R25 ,3,"1M","Resistors_SMD:R_0603","","RC0603FR-071ML","
R29 R32 R35 R38 R41 R44 R47 R50 R53 R56 R59 R62 ,12,"51R","Resistors_SMD:R_0805","","RC1206FR-0751RL","
R17 R2 R3 R4 R6 R71 R8 ,7,"220k","Resistors_SMD:R_0603","","RC0603FR-07220KL","
R64 R65 ,2,"10R","Resistors_SMD:R_0603","","RC0603FR-0710RL","
R66 ,1,"10m","Resistors_SMD:R_1206","","KRL1632E-M-R010-F-T5","
R69 ,1,"15m","Resistors_SMD:R_1206","","KRL1632E-M-R015-F-T5","
R10 R15 R18 R5 R67 R7 R74 R9 TH2 ,9,"10k","Resistors_SMD:R_0603","","RC0603FR-0710KL","
R70 ,1,"6k8","Resistors_SMD:R_0603","",","RC0603FR-076K8L"
R16 R20 R22 R72 R73 R75 ,6,"18k","Resistors_SMD:R_0603","","RC0603FR-0718KL","
SW1 SW2 ,2,"SW_Push","Buttons_Switches_SMD:SW_SPST_PTS810","","PTS810 SJK 250 SMTR LFS","
U1 ,1,"AP2210N-3.3","TO_SOT_Packages_SMD:SOT-23","","AP2210N-3.3TRG1","
U2 ,1,"STM32F070CBT6","Housings_QFP:LQFP-48_7x7mm_Pitch0.5mm","","STM32F070CBT6","
U3 ,1,"LTC6803-3","Housings_SSOP:TSSOP-44_4.4x11.2mm_Pitch0.5mm","","LTC6803IG-3#PBF","
U4 ,1,"MAX17502","Housings_DFN_QFN:DFN-10-1EP_2x3mm_Pitch0.5mm","","MAX17502EATB+T","
U5 ,1,"ISL28022","Housings_SSOP:MSOP-10_3x3mm_Pitch0.5mm","","ISL28022FUZ-T7A","
U6 ,1,"LTC3873","TO_SOT_Packages_SMD:TSOT-23-8","","LTC3873ETS8#TRMPBF","
U7 ,1,"MAX5215","Housings_SSOP:MSOP-8_3x3mm_Pitch0.65mm","","MAX5215GUA+","
Y1 ,1,"8MHz","Crystals:Crystal_SMD_5032-2pin_5.0x3.2mm","","ABM3-8.000MHZ-D2Y-T","